Chromosome,Plasmid,Label
NC_018658.1,NC_018666.1,1
NC_018658.1,NC_018660.1,1
NC_019386.1,NC_019387.1,1
NC_019386.1,NC_019388.1,1
NC_020505.1,NC_020503.1,1
NC_019701.1,NC_019690.1,1
NC_019695.1,NC_019699.1,1
NC_019695.1,NC_019696.1,1
NC_019751.1,NC_019727.1,1
NC_019751.1,NC_019728.1,1
NC_019751.1,NC_019752.1,1
NC_019745.1,NC_019746.1,1
NC_019745.1,NC_020051.1,1
NC_019745.1,NC_019759.1,1
NC_019745.1,NC_019747.1,1
NC_019771.1,NC_019772.1,1
NC_019771.1,NC_020157.1,1
NC_019771.1,NC_019773.1,1
NC_019771.1,NC_019774.1,1
NC_019771.1,NC_019775.1,1
NC_019771.1,NC_020056.1,1
NC_019936.1,NC_019937.1,1
NC_019936.1,NC_019938.1,1
NC_019936.1,NC_019939.1,1
NC_019977.1,NC_019972.1,1
NC_019974.1,NC_019976.1,1
NC_019974.1,NC_019975.1,1
NZ_CP053256.1,NZ_CP053257.1,1
NZ_CP006659.2,NZ_CP006661.1,1
NZ_CP006659.2,NZ_CP006663.1,1
NZ_CP006659.2,NZ_CP006662.2,1
NZ_CP006659.2,NZ_CP006660.1,1
NZ_CP041738.1,NZ_CP041739.1,1
NZ_CP041738.1,NZ_CP041740.1,1
NZ_CP011980.1,NZ_CP011981.1,1
NZ_CP011980.1,NZ_CP011982.1,1
NZ_CP011980.1,NZ_CP011983.1,1
NZ_CP011980.1,NZ_CP011984.1,1
NZ_CP011989.1,NZ_CP011990.1,1
NZ_CP011989.1,NZ_CP011991.1,1
NZ_CP011989.1,NZ_CP011992.1,1
NZ_CP011989.1,NZ_CP011993.1,1
NZ_CP011976.1,NZ_CP011977.1,1
NZ_CP011976.1,NZ_CP011978.1,1
NZ_CP011976.1,NZ_CP011979.1,1
NC_021812.2,NC_021813.2,1
NC_021812.2,NC_021842.2,1
NC_021810.1,NC_021811.1,1
NZ_CP023541.1,NZ_CP023542.1,1
NC_022353.2,NC_022354.1,1
NZ_CM002264.1,NZ_CM002265.1,1
NZ_CM002264.1,NZ_CM002266.1,1
NZ_CM002261.1,NZ_CM002262.1,1
NZ_CM002261.1,NZ_CM002263.1,1
NZ_CM002268.1,NZ_CM002269.1,1
NZ_CM002268.1,NZ_CM002270.1,1
NC_023135.1,NC_023136.1,1
NC_023135.1,NC_023146.1,1
NZ_AP018443.1,NZ_AP018444.1,1
NZ_AP018443.1,NZ_AP018445.1,1
NZ_CP011972.2,NZ_CP011973.1,1
NZ_CP007731.1,NZ_CP007734.1,1
NZ_CP007731.1,NZ_CP007732.1,1
NZ_CP007731.1,NZ_CP007736.1,1
NZ_CP007731.1,NZ_CP007735.1,1
NZ_CP007731.1,NZ_CP007733.1,1
NZ_CP039496.1,NZ_CP039497.1,1
NZ_CP008797.1,NZ_CP008800.1,1
NZ_CP008797.1,NZ_CP008798.1,1
NZ_CP008797.1,NZ_CP008799.1,1
NZ_CP008831.1,NZ_CP008833.1,1
NZ_CP008831.1,NZ_CP008832.1,1
NZ_CP008823.1,NZ_CP008824.1,1
NZ_CP008823.1,NZ_CP008825.1,1
NZ_CP008823.1,NZ_CP008826.1,1
NZ_CP036553.1,NZ_CP036554.1,1
NZ_CP075037.1,NZ_CP075038.1,1
NZ_CP008957.1,NZ_CP008958.1,1
NZ_CP011052.1,NZ_CP011053.1,1
NZ_CP011052.1,NZ_CP011054.1,1
NZ_CM002879.1,NZ_CM002880.1,1
NZ_CP009072.1,NZ_CP009073.1,1
NZ_CP009072.1,NZ_CP009074.1,1
NZ_CP008897.1,NZ_CP008899.1,1
NZ_CP008897.1,NZ_CP008898.1,1
NZ_CP008897.1,NZ_CP008900.1,1
NZ_CP008897.1,NZ_CP008901.1,1
NZ_CP008905.1,NZ_CP008906.1,1
NZ_CP008905.1,NZ_CP008907.1,1
NZ_CP008905.1,NZ_CP008908.1,1
NZ_CP008920.1,NZ_CP008919.1,1
NZ_CP008928.1,NZ_CP008927.1,1
NZ_CP049748.1,NZ_CP049749.1,1
NZ_CP049748.1,NZ_CP049750.1,1
NZ_CP049748.1,NZ_CP049751.1,1
NZ_CP007634.1,NZ_CP007636.1,1
NZ_CP031508.1,NZ_CP031512.1,1
NZ_CP031508.1,NZ_CP031510.1,1
NZ_CP031508.1,NZ_CP031511.1,1
NZ_CP031508.1,NZ_CP031509.1,1
NZ_CP026059.1,NZ_CP026060.1,1
NZ_CP026059.1,NZ_CP026061.1,1
NZ_CP026098.1,NZ_CP026099.1,1
NZ_CP026056.1,NZ_CP026058.1,1
NZ_CP026056.1,NZ_CP026057.1,1
NZ_CP026052.1,NZ_CP026054.1,1
NZ_CP026052.1,NZ_CP026053.1,1
NZ_CP026047.1,NZ_CP026049.1,1
NZ_CP026047.1,NZ_CP026048.1,1
NZ_CP010427.1,NZ_CP010428.1,1
NZ_AP014565.1,NZ_AP014566.1,1
NZ_AP014680.1,NZ_AP014681.1,1
NZ_AP014680.1,NZ_AP014682.1,1
NZ_CP009166.1,NZ_CP009167.1,1
NZ_CP009166.1,NZ_CP009168.1,1
NZ_CP009166.1,NZ_CP009169.1,1
NZ_CP010344.1,NZ_CP010345.1,1
NZ_CP009300.1,NZ_CP009299.1,1
NZ_CP009325.1,NZ_CP009324.1,1
NZ_CP009328.1,NZ_CP009327.1,1
NZ_CP009328.1,NZ_CP009326.1,1
NZ_CP009464.1,NZ_CP009463.1,1
NZ_CP009464.1,NZ_CP009462.1,1
NZ_CP009476.1,NZ_CP009475.1,1
NZ_CP009692.1,NZ_CP009691.1,1
NZ_CP009692.1,NZ_CP009690.1,1
NZ_CP009692.1,NZ_CP009689.1,1
NZ_CP009541.1,NZ_CP009540.1,1
NZ_CP009700.1,NZ_CP009699.1,1
NZ_CP009700.1,NZ_CP009698.1,1
NZ_CP009596.1,NZ_CP009595.1,1
NZ_CP009596.1,NZ_CP009594.1,1
NZ_CP009596.1,NZ_CP009593.1,1
NZ_CP009598.1,NZ_CP009597.1,1
NZ_CP009641.1,NZ_CP009639.1,1
NZ_CP009641.1,NZ_CP009636.1,1
NZ_CP009641.1,NZ_CP009640.1,1
NZ_CP009641.1,NZ_CP009638.1,1
NZ_CP009641.1,NZ_CP009637.1,1
NZ_CP009641.1,NZ_CP009635.1,1
NZ_CP009641.1,NZ_CP009634.1,1
NZ_CP009720.1,NZ_CP009718.1,1
NZ_CP009720.1,NZ_CP009719.1,1
NZ_CP009720.1,NZ_CP009717.1,1
NZ_CP009902.1,NZ_CP009901.1,1
NZ_CP009902.1,NZ_CP009900.1,1
NZ_CP009920.1,NZ_CP009921.1,1
NZ_CP009920.1,NZ_CP009919.1,1
NZ_CP009920.1,NZ_CP009915.1,1
NZ_CP009920.1,NZ_CP009918.1,1
NZ_CP009920.1,NZ_CP009916.1,1
NZ_CP009920.1,NZ_CP009917.1,1
NZ_CP009981.1,NZ_CP009980.1,1
NZ_CP009981.1,NZ_CP009979.1,1
NZ_CP010088.1,NZ_CP010087.1,1
NZ_CP010322.1,NZ_CP010321.1,1
NZ_CP010322.1,NZ_CP010320.1,1
NZ_CP009353.1,NZ_CP009352.1,1
NZ_CP009343.1,NZ_CP009342.1,1
NZ_CP009440.1,NZ_CP009441.1,1
NZ_CP009315.1,NZ_CP009316.1,1
NZ_CP009315.1,NZ_CP009314.1,1
NZ_CP009442.1,NZ_CP009443.1,1
NZ_CP009444.1,NZ_CP009446.1,1
NZ_CP009444.1,NZ_CP009445.1,1
NZ_CP009367.1,NZ_CP009366.1,1
NZ_CP009492.1,NZ_CP009490.1,1
NZ_CP009492.1,NZ_CP009491.1,1
NZ_CP009492.1,NZ_CP009489.1,1
NZ_CP009704.1,NZ_CP009702.1,1
NZ_CP009704.1,NZ_CP009703.1,1
NZ_CP009704.1,NZ_CP009701.1,1
NZ_CP009712.1,NZ_CP009711.1,1
NZ_CP009712.1,NZ_CP009710.1,1
NZ_CP009715.1,NZ_CP009714.1,1
NZ_CP009715.1,NZ_CP009713.1,1
NZ_CP009723.1,NZ_CP009722.1,1
NZ_CP009723.1,NZ_CP009721.1,1
NZ_CP009723.1,NZ_CP009724.1,1
NZ_CP009780.1,NZ_CP009779.1,1
NZ_CP009785.1,NZ_CP009784.1,1
NZ_CP009785.1,NZ_CP009783.1,1
NZ_CP009785.1,NZ_CP009782.1,1
NZ_CP009838.1,NZ_CP009837.1,1
NZ_CP009840.1,NZ_CP009841.1,1
NZ_CP009840.1,NZ_CP009839.1,1
NZ_CP009844.1,NZ_CP009842.1,1
NZ_CP009844.1,NZ_CP009843.1,1
NZ_CP009906.1,NZ_CP009904.1,1
NZ_CP009906.1,NZ_CP009905.1,1
NZ_CP009906.1,NZ_CP009903.1,1
NZ_CP009935.1,NZ_CP009934.1,1
NZ_CP009935.1,NZ_CP009937.1,1
NZ_CP009935.1,NZ_CP009936.1,1
NZ_CP009996.1,NZ_CP009995.1,1
NZ_CP009996.1,NZ_CP009994.1,1
NZ_CP009996.1,NZ_CP009993.1,1
NZ_CP009996.1,NZ_CP009992.1,1
NZ_CP010067.1,NZ_CP010069.1,1
NZ_CP010067.1,NZ_CP010068.1,1
NZ_CP010103.1,NZ_CP010104.1,1
NZ_CP010247.1,NZ_CP010248.1,1
NZ_CP010247.1,NZ_CP010246.1,1
NZ_CP010293.1,NZ_CP010294.1,1
NZ_CP009605.1,NZ_CP009606.1,1
NZ_CP009605.1,NZ_CP009603.1,1
NZ_CP009605.1,NZ_CP009604.1,1
NZ_CP010072.1,NZ_CP010073.1,1
NZ_CP010072.1,NZ_CP010074.1,1
NZ_CP010301.1,NZ_CP010302.1,1
NZ_CP010301.1,NZ_CP010303.1,1
NZ_CP010852.1,NZ_CP010853.1,1
NZ_CP010852.1,NZ_CP010854.1,1
NZ_CP015483.1,NZ_CP015484.1,1
NZ_CP015483.1,NZ_CP015485.1,1
NZ_CP015483.1,NZ_CP015486.1,1
NZ_LN681234.1,NZ_LN681235.1,1
NZ_LN679998.1,NZ_LN679999.1,1
NZ_LN679998.1,NZ_LN680000.1,1
NZ_CP009836.1,NZ_CP009834.1,1
NZ_CP009836.1,NZ_CP009835.1,1
NZ_CP009836.1,NZ_CP009833.1,1
NZ_CP076232.1,NZ_CP076234.1,1
NZ_CP076232.1,NZ_CP076233.1,1
NZ_CP076230.1,NZ_CP076231.1,1
NZ_CP011398.2,NZ_CP011399.1,1
NZ_CP011477.1,NZ_CP011478.1,1
NZ_CP011403.1,NZ_CP011404.1,1
NZ_CP011403.1,NZ_CP011405.1,1
NZ_CP011479.1,NZ_CP011480.1,1
NZ_CP011479.1,NZ_CP011481.1,1
NZ_CP026962.1,NZ_CP026963.1,1
NZ_CP026080.1,NZ_CP026081.1,1
NZ_CP026064.1,NZ_CP026065.1,1
NZ_CP026953.1,NZ_CP026954.1,1
NZ_CP026953.1,NZ_CP026955.1,1
NZ_CP026953.1,NZ_CP026956.1,1
NZ_CP026968.1,NZ_CP026969.1,1
NZ_CP026968.1,NZ_CP026972.1,1
NZ_CP026968.1,NZ_CP026971.1,1
NZ_CP026968.1,NZ_CP026970.1,1
NZ_CP026077.1,NZ_CP026078.1,1
NZ_CP026958.1,NZ_CP026959.1,1
NZ_CP026074.1,NZ_CP026075.1,1
NZ_CP011574.1,NZ_CP011573.1,1
NZ_CP011578.1,NZ_CP011577.1,1
NZ_CP011578.1,NZ_CP011576.1,1
NZ_CP011578.1,NZ_CP011575.1,1
NZ_CP011581.1,NZ_CP011580.1,1
NZ_CP011581.1,NZ_CP011579.1,1
NZ_CP011591.1,NZ_CP011590.1,1
NZ_CP011591.1,NZ_CP011589.1,1
NZ_CP011591.1,NZ_CP011588.1,1
NZ_CP011591.1,NZ_CP011587.1,1
NZ_CP011591.1,NZ_CP011586.1,1
NZ_CP011591.1,NZ_CP011585.1,1
NZ_CP011618.1,NZ_CP011616.1,1
NZ_CP011618.1,NZ_CP011617.1,1
NZ_CP011618.1,NZ_CP011615.1,1
NZ_CP011618.1,NZ_CP011614.1,1
NZ_CP011612.1,NZ_CP011611.1,1
NZ_CP011612.1,NZ_CP011610.1,1
NZ_CP011612.1,NZ_CP011609.1,1
NZ_CP011612.1,NZ_CP011608.1,1
NZ_CP011612.1,NZ_CP011607.1,1
NZ_CP011612.1,NZ_CP011606.1,1
NZ_CP011612.1,NZ_CP011605.1,1
NZ_CP011612.1,NZ_CP011604.1,1
NZ_CP011612.1,NZ_CP011603.1,1
NZ_CP011624.1,NZ_CP011623.1,1
NZ_CP011624.1,NZ_CP011622.1,1
NZ_CP011624.1,NZ_CP011621.1,1
NZ_CP011624.1,NZ_CP011620.1,1
NZ_CP011624.1,NZ_CP011619.1,1
NZ_CP011642.1,NZ_CP011641.1,1
NZ_CP011642.1,NZ_CP011640.1,1
NZ_CP011642.1,NZ_CP011639.1,1
NZ_CP011642.1,NZ_CP011638.1,1
NZ_CP011642.1,NZ_CP011637.1,1
NZ_CP011650.1,NZ_CP011649.1,1
NZ_CP011650.1,NZ_CP011648.1,1
NZ_CP011597.1,NZ_CP011596.1,1
NZ_CP011597.1,NZ_CP011595.1,1
NZ_CP011597.1,NZ_CP011594.1,1
NZ_CP011597.1,NZ_CP011593.1,1
NZ_CP011597.1,NZ_CP011592.1,1
NZ_CP011528.1,NZ_CP011529.1,1
NZ_CP073007.1,NZ_CP073008.1,1
NZ_CP073007.1,NZ_CP073009.1,1
NZ_CP073007.1,NZ_CP073010.1,1
NZ_CP020925.1,NZ_CP020926.1,1
NZ_CP020925.1,NZ_CP020927.1,1
NZ_LT883153.1,NZ_LT883154.1,1
NZ_CP012119.2,NZ_CP012118.2,1
NZ_CP012119.2,NZ_CP025490.1,1
NZ_CP012120.2,NZ_CP012121.2,1
NZ_CP012120.2,NZ_CP025489.1,1
NZ_CP006806.1,NZ_CP006807.1,1
NZ_CP006806.1,NZ_CP006808.1,1
NZ_LT904878.1,NZ_LT904879.1,1
NZ_LT904878.1,NZ_LT904880.1,1
NZ_CP011512.1,NZ_CP011513.1,1
NZ_CP009973.1,NZ_CP009971.1,1
NZ_CP009973.1,NZ_CP009972.1,1
NZ_CP023553.1,NZ_CP023554.1,1
NZ_CP023553.1,NZ_CP023555.1,1
NZ_CP023553.1,NZ_CP023556.1,1
NZ_CP023553.1,NZ_CP023557.1,1
NZ_LT904888.1,NZ_LT904889.1,1
NZ_LT904852.1,NZ_LT904853.1,1
NZ_LT904872.1,NZ_LT904873.1,1
NZ_LT904894.1,NZ_LT904895.1,1
NZ_LN890518.1,NZ_LN890519.1,1
NZ_LN890522.1,NZ_LN890523.1,1
NZ_LN890524.1,NZ_LN890525.1,1
NZ_LN890524.1,NZ_LN890526.1,1
NZ_LN890520.1,NZ_LN890521.1,1
NZ_CP013046.2,NZ_CP013047.2,1
NZ_CP013025.1,NZ_CP013027.1,1
NZ_CP013025.1,NZ_CP013024.1,1
NZ_CP013025.1,NZ_CP013026.1,1
NZ_CP022500.1,NZ_CP022502.1,1
NZ_CP013658.1,NZ_CP013657.1,1
NZ_CP123660.1,NZ_CP123661.1,1
NZ_CP123660.1,NZ_CP123662.1,1
NZ_CP014994.1,NZ_CP014995.1,1
NZ_AP014815.1,NZ_AP014816.1,1
NZ_AP014815.1,NZ_AP014820.1,1
NZ_AP014821.1,NZ_AP014824.1,1
NZ_AP014821.1,NZ_AP014825.1,1
NZ_AP014821.1,NZ_AP014822.1,1
NZ_AP014821.1,NZ_AP014828.1,1
NZ_CP012480.1,NZ_CP012742.1,1
NZ_CP014113.2,NZ_CP014114.1,1
NZ_CP014113.2,NZ_CP014115.1,1
NZ_CP014099.2,NZ_CP014096.2,1
NZ_CP014099.2,NZ_CP014098.1,1
NZ_CP014057.2,NZ_CP014058.2,1
NZ_CP014064.2,NZ_CP014063.1,1
NZ_CP014070.2,NZ_CP014069.2,1
NZ_CP014314.1,NZ_CP015816.1,1
NZ_CP012911.1,NZ_CP012913.1,1
NZ_CP011828.1,NZ_CP011829.1,1
NZ_CP011828.1,NZ_CP011830.1,1
NZ_CP011828.1,NZ_CP011831.1,1
NZ_CP014748.2,NZ_CP014747.1,1
NZ_CP014352.1,NZ_CP014353.1,1
NZ_CP014996.1,NZ_CP014997.1,1
NZ_CP012985.1,NZ_CP014577.1,1
NZ_CP011289.1,NZ_CP011291.1,1
NZ_CP011289.1,NZ_CP011290.1,1
NZ_CP014774.1,NZ_CP014775.1,1
NZ_CP014360.1,NZ_CP014361.1,1
NZ_CP014755.1,NZ_CP014756.1,1
NZ_CP014755.1,NZ_CP014757.1,1
NZ_CP014755.1,NZ_CP014758.1,1
NZ_CP015846.1,NZ_CP015847.2,1
NZ_CP015842.1,NZ_CP022729.1,1
NZ_CP075141.1,NZ_CP075142.1,1
NZ_CP015296.1,NZ_CP015297.1,1
NZ_CP015298.1,NZ_CP015299.1,1
NZ_CP015300.1,NZ_CP015301.1,1
NZ_CP015302.1,NZ_CP015303.1,1
NZ_CP015304.1,NZ_CP015305.1,1
NZ_CP015306.1,NZ_CP015307.1,1
NZ_CP016007.1,NZ_CP016008.1,1
NZ_CP016007.1,NZ_CP016009.1,1
NZ_CP014762.1,NZ_CP014763.1,1
NZ_CP014762.1,NZ_CP014765.1,1
NZ_CP014762.1,NZ_CP014764.1,1
NZ_CP015025.1,NZ_CP015026.1,1
NZ_CP015130.1,NZ_CP015132.1,1
NZ_CP015130.1,NZ_CP015131.1,1
NZ_CP015130.1,NZ_CP015133.1,1
NZ_CP015159.1,NZ_CP015160.1,1
NZ_CP015159.1,NZ_CP015161.1,1
NZ_CP016172.1,NZ_CP016173.1,1
NZ_CP016030.2,NZ_CP016031.1,1
NZ_CP016380.1,NZ_CP016381.1,1
NZ_CP016504.1,NZ_CP016505.1,1
NZ_CP016504.1,NZ_CP016506.1,1
NZ_CP016507.1,NZ_CP016508.1,1
NZ_CP016507.1,NZ_CP016509.1,1
NZ_CP016510.1,NZ_CP016511.1,1
NZ_CP016510.1,NZ_CP016512.1,1
NZ_CP016510.1,NZ_CP016513.1,1
NZ_CP016514.1,NZ_CP016515.1,1
NZ_CP016514.1,NZ_CP016516.1,1
NZ_CP016517.1,NZ_CP016518.1,1
NZ_CP016517.1,NZ_CP016519.1,1
NZ_CP016517.1,NZ_CP016520.1,1
NZ_CP016530.1,NZ_CP016531.1,1
NZ_CP016530.1,NZ_CP016532.1,1
NZ_CP016530.1,NZ_CP016533.1,1
NZ_CP016521.1,NZ_CP016522.1,1
NZ_CP016521.1,NZ_CP016524.1,1
NZ_CP016521.1,NZ_CP016523.1,1
NZ_CP016525.1,NZ_CP016526.1,1
NZ_CP016563.1,NZ_CP016564.1,1
NZ_CP016579.1,NZ_CP016580.1,1
NZ_CP016561.1,NZ_CP016562.1,1
NZ_CP016569.1,NZ_CP016572.1,1
NZ_CP016569.1,NZ_CP016571.1,1
NZ_CP016569.1,NZ_CP016570.1,1
NZ_CP016565.1,NZ_CP016568.1,1
NZ_CP016565.1,NZ_CP016567.1,1
NZ_CP016565.1,NZ_CP016566.1,1
NZ_CP016576.1,NZ_CP016577.1,1
NZ_CP016576.1,NZ_CP016578.1,1
NZ_CP016586.1,NZ_CP016587.1,1
NZ_CP016581.1,NZ_CP016582.1,1
NZ_CP016581.1,NZ_CP016583.1,1
NZ_CP016581.1,NZ_CP016584.1,1
NZ_CP016581.1,NZ_CP016585.1,1
NZ_CP027036.1,NZ_CP027037.1,1
NZ_CP027036.1,NZ_CP027038.1,1
NZ_CP027036.1,NZ_CP027039.1,1
NZ_CP027036.1,NZ_CP027040.1,1
NZ_CP027036.1,NZ_CP027041.1,1
NZ_CP027048.1,NZ_CP027049.1,1
NZ_CP027048.1,NZ_CP027050.1,1
NZ_CP027048.1,NZ_CP027051.1,1
NZ_CP027048.1,NZ_CP027052.1,1
NZ_CP027053.1,NZ_CP027054.1,1
NZ_CP027053.1,NZ_CP027055.1,1
NZ_CP027053.1,NZ_CP027056.1,1
NZ_CP027053.1,NZ_CP027057.1,1
NZ_CP027053.1,NZ_CP027058.1,1
NZ_CP016926.1,NZ_CP016924.1,1
NZ_CP016926.1,NZ_CP016927.1,1
NZ_CP016926.1,NZ_CP016925.1,1
NZ_CP012436.1,NZ_CP012437.1,1
NZ_CP012436.1,NZ_CP012439.1,1
NZ_CP012436.1,NZ_CP012438.1,1
NZ_CP012440.1,NZ_CP012441.1,1
NZ_CP012440.1,NZ_CP012442.1,1
NZ_CP012440.1,NZ_CP012443.1,1
NZ_CP012440.1,NZ_CP012444.1,1
NZ_CP012440.1,NZ_CP012446.1,1
NZ_CP012440.1,NZ_CP012445.1,1
NZ_CP012454.1,NZ_CP012455.1,1
NZ_CP012454.1,NZ_CP012456.1,1
NZ_CP012454.1,NZ_CP012458.1,1
NZ_CP012454.1,NZ_CP012459.1,1
NZ_CP012460.1,NZ_CP012461.1,1
NZ_CP012460.1,NZ_CP012462.1,1
NZ_CP012460.1,NZ_CP012463.1,1
NZ_CP012460.1,NZ_CP012464.1,1
NZ_CP012465.1,NZ_CP012467.1,1
NZ_CP012465.1,NZ_CP012466.1,1
NZ_CP012465.1,NZ_CP012468.1,1
NZ_CP012465.1,NZ_CP012469.1,1
NZ_CP012465.1,NZ_CP012470.1,1
NZ_CP025495.1,NZ_CP025497.1,1
NZ_CP025495.1,NZ_CP025496.1,1
NZ_CP014529.1,NZ_CP014530.1,1
NZ_CP014529.1,NZ_CP014535.1,1
NZ_CP014529.1,NZ_CP014534.1,1
NZ_CP014529.1,NZ_CP014531.1,1
NZ_CP014529.1,NZ_CP014533.1,1
NZ_CP014529.1,NZ_CP014532.1,1
NZ_CP015939.1,NZ_CP015940.1,1
NZ_CP015941.1,NZ_CP015943.1,1
NZ_CP015941.1,NZ_CP015942.1,1
NZ_CP015947.1,NZ_CP015948.1,1
NZ_CP015956.1,NZ_CP015957.1,1
NZ_CP017446.1,NZ_CP017447.1,1
NZ_CP017440.1,NZ_CP017441.1,1
NZ_CP017442.1,NZ_CP017443.1,1
NZ_CP074663.1,NZ_CP074664.1,1
NZ_CP075138.1,NZ_CP075139.1,1
NZ_CP075135.1,NZ_CP075136.1,1
NZ_CP075129.1,NZ_CP075130.1,1
NZ_CP075129.1,NZ_CP075131.1,1
NZ_CP075125.1,NZ_CP075126.1,1
NZ_CP017934.1,NZ_CP017935.1,1
NZ_CP017934.1,NZ_CP017936.1,1
NZ_CP017934.1,NZ_CP017937.1,1
NZ_CP011662.1,NZ_CP011661.1,1
NZ_CP011662.1,NZ_CP011659.1,1
NZ_CP011662.1,NZ_CP011658.1,1
NZ_CP017671.1,NZ_CP017672.1,1
NZ_CP014148.1,NZ_CP014147.1,1
NZ_CP014148.1,NZ_CP014146.1,1
NZ_CP018093.1,NZ_CP018094.1,1
NZ_CP013242.1,NZ_CP013241.1,1
NZ_CP013296.1,NZ_CP013295.1,1
NZ_CP018356.1,NZ_CP018355.1,1
NZ_CP018356.1,NZ_CP018354.1,1
NZ_CP018356.1,NZ_CP018353.1,1
NZ_CP018352.1,NZ_CP018351.1,1
NZ_CP018352.1,NZ_CP018350.1,1
NZ_CP018352.1,NZ_CP018348.1,1
NZ_CP018671.1,NZ_CP018670.1,1
NZ_CP018671.1,NZ_CP018669.1,1
NZ_CP018671.1,NZ_CP018668.1,1
NZ_CP018671.1,NZ_CP018667.1,1
NZ_CP018671.1,NZ_CP018666.1,1
NZ_CP018671.1,NZ_CP018665.1,1
NZ_CP017007.1,NZ_CP017008.1,1
NZ_CP017009.1,NZ_CP017010.1,1
NZ_CP017009.1,NZ_CP017011.1,1
NZ_CP013686.1,NZ_CP013687.1,1
NZ_CP013681.1,NZ_CP013682.1,1
NZ_CP013683.1,NZ_CP013684.1,1
NZ_CP013705.1,NZ_CP013706.1,1
NZ_CP013707.1,NZ_CP013710.1,1
NZ_CP013707.1,NZ_CP013709.1,1
NZ_CP013707.1,NZ_CP013708.1,1
NZ_CP018814.1,NZ_CP018815.1,1
NZ_CP018820.1,NZ_CP018821.1,1
NZ_CP018816.1,NZ_CP018817.1,1
NZ_CP018816.1,NZ_CP018818.1,1
NZ_CP018816.1,NZ_CP018819.1,1
NZ_CP046488.1,NZ_CP046489.1,1
NZ_CP046488.1,NZ_CP046490.1,1
NZ_CP040604.1,NZ_CP040603.1,1
NZ_CP046479.1,NZ_CP046480.1,1
NZ_CP016406.1,NZ_CP016407.1,1
NZ_CP016408.1,NZ_CP016409.1,1
NZ_CP016410.1,NZ_CP016411.1,1
NZ_CP018931.1,NZ_CP018932.1,1
NZ_CP018935.1,NZ_CP018936.1,1
